Memory MB nvidia-chip	memtotal	memfree	cached	active	buffers	inactive
241	7859.9	147.6	489.2	1936.5	5.6	514.1
242	7859.9	147.6	489.2	1936.5	5.6	514.1
243	7859.9	147.6	489.2	1936.5	5.6	514.1
244	7859.9	147.6	489.2	1936.5	5.6	514.1
245	7859.9	147.6	489.2	1936.6	5.6	514.1
246	7859.9	147.6	489.2	1936.6	5.6	514.1
247	7859.9	147.6	489.4	1936.7	5.8	514.1
248	7859.9	146	491.2	1938.5	5.8	514.2
249	7859.9	146	491.2	1938.5	5.8	514.2
250	7859.9	146	491.2	1938.5	5.8	514.2
251	7859.9	144.8	492.5	1938.7	5.8	515
252	7859.9	138.8	494.4	1940	5.8	516
253	7859.9	138.8	494.4	1940	5.8	515.9
254	7859.9	138.8	494.4	1940	5.8	515.9
255	7859.9	138.8	494.4	1940	5.8	515.9
256	7859.9	138.7	494.4	1940	5.8	515.9
257	7859.9	138.6	494.5	1940	5.8	516
258	7859.9	138.1	494.5	1940.1	5.8	516
259	7859.9	138.2	494.5	1940.1	5.8	516.1
260	7859.9	138.2	494.5	1940.1	5.8	516.1
261	7859.9	138.2	494.5	1940.1	5.8	516.1
262	7859.9	138	494.5	1940.9	5.8	515.3
263	7859.9	137.9	494.5	1940.9	5.8	515.3
264	7859.9	137.9	494.5	1940.9	5.8	515.3
265	7859.9	137.9	494.5	1940.9	5.8	515.3
266	7859.9	137.9	494.5	1940.9	5.8	515.3
267	7859.9	137.9	494.5	1940.9	5.8	515.3
268	7859.9	137.9	494.5	1940.9	5.8	515.3
269	7859.9	137.9	494.5	1940.9	5.8	515.3
270	7859.9	137.9	494.5	1940.9	5.8	515.3
271	7859.9	137.9	494.5	1940.9	5.8	515.3
272	7859.9	138.1	494.5	1940.9	5.8	515.3
273	7859.9	138.1	494.5	1940.9	5.8	515.3
274	7859.9	138.1	494.5	1940.9	5.8	515.3
275	7859.9	138.1	494.5	1940.9	5.8	515.3
276	7859.9	138.1	494.5	1940.9	5.8	515.3
277	7859.9	138	494.5	1940.9	5.8	515.4
278	7859.9	138.2	494.5	1940.9	5.8	515.4
279	7859.9	138.2	494.5	1940.9	5.8	515.4
280	7859.9	137	496.3	1942.5	5.8	515.4
281	7859.9	137	496.2	1942.6	5.8	515.4
282	7859.9	136.7	496.7	1942.6	5.8	515.9
283	7859.9	167.4	496.7	1911.2	5.8	515.9
284	7859.9	166.8	496.7	1912.1	5.8	515.9
285	7859.9	165.4	496.7	1913.7	5.8	515.9
286	7859.9	165.4	496.7	1913.7	5.8	515.9
287	7859.9	165.2	496.7	1913.7	5.8	515.9
288	7859.9	157.4	496.7	1921.5	5.8	515.9
289	7859.9	161.8	496.7	1916.5	5.8	515.9
290	7859.9	162	496.7	1916.4	5.8	515.9
291	7859.9	152.4	506.9	1920	5.8	522.4
292	7859.9	152.3	506.9	1920.1	5.8	522.5
293	7859.9	152.3	506.9	1920.1	5.8	522.5
294	7859.9	152.3	506.9	1920.1	5.8	522.5
295	7859.9	152.3	506.9	1920.1	5.8	522.5
296	7859.9	152.3	506.9	1920.1	5.8	522.5
297	7859.9	151.5	506.9	1920.3	5.8	522.5
298	7859.9	151.4	506.9	1920.1	5.8	522.5
299	7859.9	151.4	507	1920.1	5.8	522.6
300	7859.9	151.2	507.2	1920.3	5.8	522.6
301	7859.9	151.2	507.2	1920.4	5.8	522.6
302	7859.9	151.2	507.2	1920.4	5.8	522.6
303	7859.9	151.2	507.2	1920.4	5.8	522.6
304	7859.9	151.2	507.2	1920.4	5.8	522.6
305	7859.9	151.2	507.2	1920.4	5.8	522.6
306	7859.9	151.4	507.4	1919.9	5.8	522.8
307	7859.9	158.9	507.4	1912.2	5.8	522.9
308	7859.9	159	507.4	1912.2	5.8	522.9
309	7859.9	159	507.4	1912.2	5.8	522.9
310	7859.9	162.3	507.5	1909	6	522.9
311	7859.9	160.2	509.9	1909.3	6	525.1
312	7859.9	160.2	509.9	1909.3	6	525.1
313	7859.9	160.1	509.9	1909.3	6	525.2
314	7859.9	160.1	509.9	1909.3	6	525.2
315	7859.9	160	509.9	1909.3	6	525.3
316	7859.9	160	509.9	1909.3	6	525.3
317	7859.9	151.8	517.8	1913	6	529.6
318	7859.9	151.8	517.8	1913	6	529.6
319	7859.9	151.8	517.8	1913	6	529.6
320	7859.9	151.8	517.8	1913	6	529.6
321	7859.9	151.8	517.8	1913	6	529.6
322	7859.9	151.5	517.8	1913	6	529.6
323	7859.9	151.5	517.8	1913	6	529.6
324	7859.9	151.4	517.8	1913	6	529.6
325	7859.9	151.4	517.8	1913	6	529.6
326	7859.9	151.4	517.8	1913	6	529.7
327	7859.9	151.4	517.8	1913	6	529.7
328	7859.9	151.4	517.8	1913.1	6	529.7
329	7859.9	151.4	517.8	1913.1	6	529.7
330	7859.9	151.4	517.8	1913.1	6	529.7
331	7859.9	151.4	517.8	1913.1	6	529.7
332	7859.9	151.6	517.8	1913.1	6	529.7
333	7859.9	151.6	517.8	1913.1	6	529.6
334	7859.9	151.6	517.8	1913.1	6	529.6
335	7859.9	151.6	517.8	1913.1	6	529.6
336	7859.9	151.4	517.8	1913.1	6	529.6
337	7859.9	151.4	517.8	1913.1	6	529.7
338	7859.9	151.4	517.8	1913.1	6	529.7
339	7859.9	150.9	518.6	1912.9	6	530.3
340	7859.9	148.5	518.6	1915.5	6	530.4
341	7859.9	140	518.6	1924	6	530.4
342	7859.9	134.8	518.6	1929.2	6	530.4
343	7859.9	134.7	518.6	1929.3	6	530.4
344	7859.9	134.7	518.6	1929.3	6	530.4
345	7859.9	134	518.7	1929.4	6	530.5
346	7859.9	130.1	518.7	1933.3	6	530.5
347	7859.9	136.7	518.7	1926.2	6	530.5
348	7859.9	136.8	518.7	1926.2	6	530.5
349	7859.9	136.8	518.7	1926.2	6	530.6
350	7859.9	136.8	518.7	1926.2	6	530.6
351	7859.9	132.7	523.3	1928	6	533.3
352	7859.9	132.6	523.3	1928.1	6	533.6
353	7859.9	132.6	523.3	1928.1	6	533.7
354	7859.9	132.4	523.3	1928.1	6	533.8
355	7859.9	132.3	523.3	1928.1	6	534
356	7859.9	131.6	523.3	1928.1	6.1	534
357	7859.9	131.6	523.3	1928.1	6.1	534.1
358	7859.9	131.6	523.3	1928.2	6.1	534.1
359	7859.9	131.5	523.3	1928.2	6.1	534.2
360	7859.9	131.4	523.3	1928.2	6.1	534.3
361	7859.9	131.4	523.3	1928.2	6.1	534.3
362	7859.9	131.4	523.3	1928.2	6.1	534.3
363	7859.9	131.4	523.3	1928.2	6.1	534.4
364	7859.9	131.4	523.3	1928.2	6.1	534.7
365	7859.9	131.4	523.3	1928.2	6.1	534.7
366	7859.9	131.4	523.3	1928.2	6.1	534.7
367	7859.9	131.4	523.3	1928.2	6.1	534.7
368	7859.9	131.4	523.3	1928.2	6.1	534.7
369	7859.9	131.4	523.3	1928.2	6.1	534.7
370	7859.9	131.4	523.3	1928.2	6.1	534.7
371	7859.9	131.4	523.3	1928.2	6.1	534.7
372	7859.9	131.5	523.3	1928.4	6.1	534.7
373	7859.9	131.4	523.3	1928.4	6.1	534.7
374	7859.9	131.4	523.3	1928.4	6.1	534.7
375	7859.9	131.1	523.3	1928.4	6.1	534.7
376	7859.9	131	523.3	1928.4	6.1	534.7
377	7859.9	131	523.3	1928.4	6.1	534.7
378	7859.9	130.8	523.7	1928.4	6.1	535.1
379	7859.9	130.8	523.7	1928.4	6.1	535.1
380	7859.9	129.8	523.7	1929.3	6.1	535.1
381	7859.9	129.7	523.7	1929.5	6.1	535.1
382	7859.9	129.7	523.7	1929.5	6.1	535.1
383	7859.9	129.6	523.7	1929.6	6.1	535.1
384	7859.9	125	523.7	1934	6.1	535.1
385	7859.9	125	523.7	1934	6.1	535.1
386	7859.9	95.1	500.9	1977.7	5.8	521.8
387	7859.9	95.1	500.9	1977.7	5.8	521.8
388	7859.9	95.1	500.9	1977.7	5.8	521.9
389	7859.9	95.1	500.9	1977.7	5.8	521.9
